index,season,date,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,a_possession,h_possession (in percent),h_possession,a_possession (in percent),h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners
510,15-16,Mar 03 2016,17,Midtjylland,København,0,1,0,0,4,7,118.11,111.21,0.55,45,0.45,55,8,13,17,21,0,0,3,2,4,5
511,15-16,Mar 04 2016,20,AaB,OB,0,1,0,0,14,3,113.87,113.91,0.39,61,0.61,39,7,8,27,16,0,0,1,1,4,3
512,15-16,Mar 05 2016,20,Hobro,Viborg,0,6,0,2,10,7,119.31,119.43,0.58,42,0.42,58,11,10,13,8,0,0,1,1,11,8
513,15-16,Mar 06 2016,20,Esbjerg,Randers,1,0,0,0,5,7,117.29,114.62,0.5,50,0.5,50,7,12,13,20,0,0,0,2,6,3
514,15-16,Mar 06 2016,20,Sønderjyske,Brøndby,3,1,2,1,12,8,121.5,125.16,0.53,47,0.47,53,9,18,14,15,0,1,3,3,8,2
515,15-16,Mar 06 2016,20,AGF,København,0,0,0,0,9,8,117.81,119.57,0.4,60,0.6,40,9,10,18,14,0,1,1,1,3,4
516,15-16,Mar 07 2016,20,Nordsjælland,Midtjylland,2,1,0,1,10,5,116.46,116.16,0.42,58,0.58,42,13,11,14,9,0,1,3,4,4,5
517,15-16,Mar 11 2016,21,Esbjerg,AGF,2,1,1,0,5,13,114.98,107.61,0.56,44,0.44,56,13,11,7,12,0,0,0,0,2,3
518,15-16,Mar 12 2016,21,Viborg,Sønderjyske,0,0,0,0,9,4,116.04,113.76,0.52,48,0.48,52,17,10,19,16,0,0,3,2,6,5
519,15-16,Mar 13 2016,21,OB,Nordsjælland,3,1,1,1,8,8,113.57,108.84,0.56,44,0.44,56,8,11,12,23,0,0,0,0,1,7
520,15-16,Mar 13 2016,21,Brøndby,Randers,1,0,1,0,6,8,121.39,119.71,0.5,50,0.5,50,14,11,12,6,0,0,1,1,7,4
521,15-16,Mar 13 2016,21,København,AaB,6,2,3,1,9,7,111.17,107.02,0.5,50,0.5,50,16,5,14,17,0,0,1,2,4,10
522,15-16,Mar 14 2016,21,Midtjylland,Hobro,3,0,1,0,15,6,116.14,113.05,0.4,60,0.6,40,6,11,17,15,0,0,1,1,9,8
523,15-16,Mar 18 2016,22,AaB,AGF,2,2,1,0,4,17,113.23,110.79,0.49,51,0.51,49,5,17,8,22,0,0,3,1,3,4
524,15-16,Mar 19 2016,22,Hobro,OB,0,2,0,0,7,8,113.77,118.89,0.47,53,0.53,47,14,8,13,22,0,0,3,0,4,2
525,15-16,Mar 20 2016,22,Sønderjyske,Midtjylland,3,2,0,2,6,12,114.7,108.91,0.55,45,0.45,55,8,11,17,19,0,0,2,1,9,6
526,15-16,Mar 20 2016,22,Randers,Viborg,1,3,1,2,10,4,120.64,114.78,0.4,60,0.6,40,13,5,16,18,0,0,0,0,3,5
527,15-16,Mar 20 2016,22,Nordsjælland,København,2,0,0,0,10,11,114.91,112.2,0.55,45,0.45,55,6,11,15,19,0,0,0,1,3,3
528,15-16,Mar 20 2016,22,Brøndby,Esbjerg,0,0,0,0,14,6,112.28,114.18,0.47,53,0.53,47,9,13,23,13,0,0,1,3,9,3
529,15-16,Apr 01 2016,23,AaB,Nordsjælland,1,0,1,0,6,12,119.59,119.66,0.55,45,0.45,55,8,15,5,13,0,0,0,0,5,2
530,15-16,Apr 02 2016,23,AGF,Hobro,1,1,1,0,11,3,115.48,116.96,0.41,59,0.59,41,13,18,14,9,0,0,2,3,5,5
531,15-16,Apr 03 2016,23,OB,Randers,0,1,0,1,7,12,122.55,125.08,0.47,53,0.53,47,15,7,15,14,0,0,0,1,2,5
532,15-16,Apr 03 2016,23,København,Sønderjyske,1,0,1,0,19,6,113.63,114.4,0.38,62,0.62,38,15,10,21,21,0,0,1,4,4,6
533,15-16,Apr 03 2016,23,Midtjylland,Brøndby,2,0,1,0,13,6,114.15,117.03,0.52,48,0.48,52,10,14,20,12,0,0,1,3,8,4
534,15-16,Apr 04 2016,23,Esbjerg,Viborg,1,0,1,0,8,15,117.35,113.52,0.44,56,0.56,44,9,12,12,16,0,0,3,0,4,6
535,15-16,Apr 08 2016,24,Viborg,Midtjylland,1,1,0,0,12,10,116.2,110.23,0.52,48,0.48,52,9,12,10,16,0,0,0,1,2,9
536,15-16,Apr 09 2016,24,Sønderjyske,AGF,2,2,0,1,4,7,117.19,117.48,0.57,43,0.43,57,14,14,21,14,1,0,4,1,8,6
537,15-16,Apr 10 2016,24,Hobro,AaB,0,2,0,0,7,8,115.43,112.44,0.55,45,0.45,55,17,6,18,19,0,0,3,1,9,4
538,15-16,Apr 10 2016,24,Randers,København,1,1,0,0,7,6,115.8,119.26,0.52,48,0.48,52,11,11,16,17,0,0,2,3,4,9
539,15-16,Apr 10 2016,24,Brøndby,OB,1,0,1,0,9,5,116.64,115.13,0.47,53,0.53,47,5,12,15,10,0,0,2,1,8,4
540,15-16,Apr 11 2016,24,Nordsjælland,Esbjerg,0,0,0,0,11,12,120.48,127.87,0.46,54,0.54,46,11,11,9,14,0,0,1,1,4,2
541,15-16,Apr 15 2016,25,Nordsjælland,Hobro,2,1,1,1,12,9,108.5,110.44,0.41,59,0.59,41,10,14,16,8,0,0,0,2,7,2
542,15-16,Apr 16 2016,25,AGF,Randers,0,2,0,0,6,6,112.82,116.17,0.57,43,0.43,57,13,10,15,14,0,0,1,1,8,7
543,15-16,Apr 17 2016,25,OB,Viborg,5,1,2,0,8,10,117.76,118.3,0.46,54,0.54,46,12,8,9,14,0,0,3,3,5,3
544,15-16,Apr 17 2016,25,AaB,Sønderjyske,1,2,1,1,9,10,113.3,111.97,0.43,57,0.57,43,11,9,16,23,0,0,2,1,3,2
545,15-16,Apr 17 2016,25,København,Brøndby,2,0,1,0,10,4,113.46,115.31,0.42,58,0.58,42,8,12,25,17,0,0,1,3,4,9
546,15-16,Apr 18 2016,25,Esbjerg,Midtjylland,0,2,0,1,9,10,122.58,117.28,0.52,48,0.48,52,10,15,15,7,0,0,2,0,5,7
547,15-16,Apr 22 2016,26,Midtjylland,OB,2,0,1,0,12,6,117.95,116.4,0.48,52,0.52,48,15,5,18,14,0,0,3,1,2,1
548,15-16,Apr 23 2016,26,Hobro,Esbjerg,2,2,0,1,12,11,108.95,107.01,0.52,48,0.48,52,16,14,23,21,0,0,6,4,4,4
549,15-16,Apr 24 2016,26,Sønderjyske,Nordsjælland,3,1,1,0,8,10,117.38,117.89,0.53,47,0.47,53,16,7,18,17,0,0,3,1,3,2
550,15-16,Apr 24 2016,26,Viborg,København,1,1,1,0,4,20,114.61,115.3,0.68,32,0.32,68,16,9,10,18,1,0,3,0,10,2
551,15-16,Apr 24 2016,26,Brøndby,AGF,2,1,1,1,11,6,110.95,112.45,0.41,59,0.59,41,11,12,17,12,0,1,0,2,3,0
552,15-16,Apr 25 2016,26,Randers,AaB,0,0,0,0,11,5,117.52,121.68,0.49,51,0.51,49,8,10,20,15,0,0,1,0,8,6
553,15-16,Apr 29 2016,27,AGF,Viborg,1,2,0,1,13,9,119.23,118.87,0.38,62,0.62,38,14,8,6,10,0,0,3,2,6,6
554,15-16,Apr 30 2016,27,Hobro,Sønderjyske,1,2,1,2,11,9,115.67,118.43,0.5,50,0.5,50,18,10,21,16,0,0,3,3,4,2
555,15-16,May 01 2016,27,Nordsjælland,Randers,2,2,0,1,5,11,119.46,114.19,0.5,50,0.5,50,10,8,21,14,1,0,4,0,6,7
556,15-16,May 01 2016,27,AaB,Brøndby,3,0,0,0,12,7,115.83,113.8,0.37,63,0.63,37,8,14,10,17,0,0,2,3,3,5
557,15-16,May 01 2016,27,København,Midtjylland,5,3,2,0,9,5,112.21,113.79,0.53,47,0.47,53,12,12,19,15,0,0,3,2,3,3
558,15-16,May 02 2016,27,Esbjerg,OB,0,2,0,1,10,10,111.66,113.31,0.56,44,0.44,56,8,6,13,13,0,0,3,2,9,3
559,15-16,May 06 2016,28,Sønderjyske,Esbjerg,2,0,1,0,11,4,119.1,114.27,0.58,42,0.42,58,6,10,13,17,0,0,2,4,8,5
560,15-16,May 07 2016,28,Randers,Hobro,2,0,0,0,16,9,110.32,112.26,0.47,53,0.53,47,5,11,6,14,0,0,1,1,5,3
561,15-16,May 08 2016,28,Viborg,AaB,0,2,0,1,17,7,104.23,102.03,0.49,51,0.51,49,13,4,21,14,0,0,2,0,11,0
562,15-16,May 08 2016,28,OB,København,0,1,0,1,6,8,117.47,113.77,0.56,44,0.44,56,9,15,21,16,0,0,1,1,1,10
563,15-16,May 08 2016,28,Midtjylland,AGF,1,1,0,1,11,7,114.56,113.6,0.44,56,0.56,44,11,16,14,9,0,0,2,3,8,11
564,15-16,May 09 2016,28,Brøndby,Nordsjælland,2,1,1,0,10,7,117.54,118.5,0.46,54,0.54,46,10,16,9,15,0,0,2,0,10,5
565,15-16,May 11 2016,29,Sønderjyske,Viborg,2,0,1,0,10,9,115.44,117.1,0.51,49,0.49,51,14,8,16,20,0,0,1,1,2,6
566,15-16,May 11 2016,29,Hobro,Midtjylland,1,4,1,0,8,12,110.16,112.94,0.62,38,0.38,62,18,8,18,12,0,0,2,1,3,0
567,15-16,May 11 2016,29,AGF,Esbjerg,5,1,1,0,8,7,113.19,116.48,0.56,44,0.44,56,9,9,19,17,0,0,2,2,7,1
568,15-16,May 12 2016,29,Nordsjælland,OB,0,1,0,1,12,12,122.33,118.68,0.52,48,0.48,52,15,14,9,10,1,0,2,1,4,6
569,15-16,May 12 2016,29,Randers,Brøndby,0,2,0,1,20,9,116.19,113.59,0.39,61,0.61,39,7,11,10,20,0,0,0,0,2,2
570,15-16,May 12 2016,29,AaB,København,0,2,0,1,6,11,113.81,115.14,0.51,49,0.49,51,6,15,18,24,0,0,3,2,2,6
571,15-16,May 14 2016,30,Midtjylland,Sønderjyske,3,2,1,1,10,8,113.85,115.88,0.52,48,0.48,52,17,18,15,17,0,0,2,2,4,6
572,15-16,May 15 2016,30,OB,Hobro,0,1,0,1,12,8,120.65,114.77,0.4,60,0.6,40,5,17,19,15,0,0,0,3,2,4
573,15-16,May 16 2016,30,Viborg,Randers,2,3,1,0,9,14,113.39,115.22,0.51,49,0.49,51,9,10,14,14,0,0,2,1,5,4
574,15-16,May 16 2016,30,København,Nordsjælland,2,0,0,0,15,7,114.14,120.02,0.43,57,0.57,43,14,6,7,13,0,0,3,1,5,2
575,15-16,May 16 2016,30,Esbjerg,Brøndby,2,3,2,0,5,15,111.48,110.14,0.64,36,0.36,64,10,5,28,22,0,0,2,1,14,6
576,15-16,May 17 2016,30,AGF,AaB,2,0,0,0,10,12,114.1,115.27,0.64,36,0.36,64,16,11,13,9,0,0,3,2,4,5
577,15-16,May 20 2016,31,Sønderjyske,OB,3,1,2,1,10,10,116.68,118.29,0.54,46,0.46,54,9,11,14,14,0,0,1,6,5,4
578,15-16,May 21 2016,31,Nordsjælland,AGF,3,3,1,0,2,15,111.73,118.27,0.56,44,0.44,56,8,9,14,7,0,0,1,1,5,5
579,15-16,May 22 2016,31,Randers,Midtjylland,1,2,0,0,16,6,111.54,112.78,0.54,46,0.46,54,11,13,15,9,1,0,0,2,8,5
580,15-16,May 22 2016,31,Hobro,København,4,2,2,0,8,6,113.21,113.58,0.65,35,0.35,65,18,8,19,14,0,0,1,2,8,5
581,15-16,May 22 2016,31,AaB,Esbjerg,1,2,0,1,10,7,113.89,113.79,0.35,65,0.65,35,8,7,14,18,1,1,4,2,10,5
582,15-16,May 23 2016,31,Brøndby,Viborg,0,1,0,1,9,7,117.2,118.23,0.45,55,0.55,45,14,10,12,10,1,0,4,2,8,6
583,15-16,May 26 2016,32,AGF,OB,2,1,1,0,8,10,112.92,107.67,0.55,45,0.45,55,18,7,13,25,0,0,1,1,11,4
584,15-16,May 26 2016,32,Nordsjælland,Viborg,1,0,1,0,7,13,110.96,114.45,0.49,51,0.51,49,13,9,12,12,0,0,1,0,8,2
585,15-16,May 26 2016,32,AaB,Midtjylland,0,0,0,0,11,11,118.42,115.44,0.56,44,0.44,56,8,17,10,13,0,0,2,4,3,3
586,15-16,May 26 2016,32,Hobro,Brøndby,0,2,0,1,12,10,120.74,120.68,0.47,53,0.53,47,12,12,15,16,1,0,1,2,5,6
587,15-16,May 26 2016,32,Sønderjyske,Randers,1,1,1,0,13,7,102.65,113.45,0.53,47,0.47,53,4,12,14,12,0,0,0,2,4,5
588,15-16,May 26 2016,32,Esbjerg,København,1,4,1,0,8,4,116.55,115.67,0.58,42,0.42,58,9,11,11,16,0,0,1,1,7,3
589,15-16,May 29 2016,33,Randers,Esbjerg,3,1,3,1,12,10,107.69,109.8,0.49,51,0.51,49,7,8,13,13,0,0,0,1,6,10
590,15-16,May 29 2016,33,Brøndby,Sønderjyske,1,2,1,0,8,4,107.48,105.35,0.52,48,0.48,52,9,6,16,16,0,0,2,3,8,1
591,15-16,May 29 2016,33,OB,AaB,3,2,0,2,11,8,110.59,112.25,0.48,52,0.52,48,11,9,25,21,0,0,2,0,1,1
592,15-16,May 29 2016,33,Viborg,Hobro,1,0,0,0,14,10,114.05,113.92,0.48,52,0.52,48,9,16,19,16,0,0,1,0,7,2
593,15-16,May 29 2016,33,Midtjylland,Nordsjælland,4,1,2,0,12,8,114.52,111.53,0.53,47,0.47,53,10,13,16,8,0,0,0,1,11,3
594,15-16,May 29 2016,33,København,AGF,2,1,0,0,14,12,117.11,115.43,0.47,53,0.53,47,11,7,16,10,0,0,0,5,5,6
595,16-17,Jul 15 2016,1,Viborg,Nordsjælland,0,4,0,2,8,7,115.23,118.47,0.58,42,0.42,58,9,12,14,14,0,0,2,2,10,9
596,16-17,Jul 15 2016,1,OB,Silkeborg,0,0,0,0,17,6,113.21,111.94,0.36,64,0.64,36,10,8,14,19,0,0,1,1,4,9
597,16-17,Jul 16 2016,1,København,Lyngby,3,0,1,0,17,8,115.18,116.73,0.37,63,0.63,37,7,17,12,11,0,0,2,2,6,5
598,16-17,Jul 17 2016,1,Sønderjyske,AGF,1,2,0,1,9,7,121.61,118.31,0.54,46,0.46,54,16,15,14,13,0,0,1,3,2,5
599,16-17,Jul 17 2016,1,AaB,Horsens,1,1,0,0,12,7,109.04,113.25,0.36,64,0.64,36,10,16,18,20,0,0,1,1,3,4
600,16-17,Jul 17 2016,1,Brøndby,Esbjerg,4,0,2,0,11,7,109.58,107.44,0.48,52,0.52,48,12,6,22,19,0,0,0,1,4,4
601,16-17,Jul 18 2016,1,Midtjylland,Randers,2,2,1,1,11,3,117.91,115,0.45,55,0.55,45,17,16,7,13,0,0,3,2,5,4
602,16-17,Jul 22 2016,2,AGF,Viborg,2,1,2,1,5,6,111.92,105.83,0.49,51,0.51,49,12,12,15,16,0,0,2,1,2,10
603,16-17,Jul 23 2016,2,Esbjerg,København,0,4,0,1,5,19,109.57,114.06,0.65,35,0.35,65,12,3,19,10,0,0,2,0,9,2
604,16-17,Jul 24 2016,2,Horsens,Sønderjyske,1,1,1,1,5,12,113.81,117.54,0.65,35,0.35,65,14,8,10,11,0,0,2,3,5,3
605,16-17,Jul 24 2016,2,Lyngby,OB,2,2,1,2,10,10,121.19,119.14,0.47,53,0.53,47,12,11,3,10,0,1,2,3,9,1
606,16-17,Jul 24 2016,2,Silkeborg,Brøndby,0,2,0,1,8,17,114.94,116.01,0.61,39,0.39,61,10,12,17,12,0,0,1,1,1,6
607,16-17,Jul 24 2016,2,Nordsjælland,Midtjylland,0,4,0,0,5,16,105.78,107.81,0.5,50,0.5,50,8,11,18,14,0,0,3,2,1,2
608,16-17,Jul 24 2016,2,Randers,AaB,0,1,0,1,11,7,117.38,115.86,0.41,59,0.59,41,7,15,15,17,0,0,0,2,3,5
609,16-17,Jul 29 2016,3,Viborg,Esbjerg,2,1,0,0,8,9,110.91,113.15,0.4,60,0.6,40,9,9,13,20,0,0,0,1,3,8
610,16-17,Jul 30 2016,3,København,Nordsjælland,4,0,2,0,15,4,109.64,107,0.44,56,0.56,44,8,14,18,14,0,0,1,1,3,6
611,16-17,Jul 31 2016,3,Sønderjyske,Lyngby,0,1,0,0,13,8,116.72,114.61,0.49,51,0.51,49,16,10,8,14,0,0,2,1,4,8
612,16-17,Jul 31 2016,3,Midtjylland,Silkeborg,3,0,1,0,8,11,115.85,111.14,0.5,50,0.5,50,12,12,18,12,0,0,1,4,2,8
613,16-17,Jul 31 2016,3,Brøndby,Horsens,2,2,1,0,19,5,108.54,111.28,0.32,68,0.68,32,10,14,12,10,0,0,0,1,7,0
614,16-17,Jul 31 2016,3,AGF,Randers,1,2,1,2,8,8,116.05,115.85,0.42,58,0.58,42,18,16,17,12,0,0,4,4,13,5
615,16-17,Aug 01 2016,3,AaB,OB,2,2,2,1,6,8,106.49,111.25,0.5,50,0.5,50,10,11,21,20,0,0,1,1,7,4
616,16-17,Aug 05 2016,4,Randers,Horsens,1,0,1,0,10,12,107.74,108.19,0.49,51,0.51,49,13,14,16,7,1,1,4,2,5,6
617,16-17,Aug 05 2016,4,Silkeborg,Lyngby,0,4,0,2,10,9,115.67,114.59,0.58,42,0.42,58,13,8,13,19,0,0,1,0,6,2
618,16-17,Aug 06 2016,4,OB,Viborg,0,0,0,0,8,6,110.32,109.55,0.43,57,0.57,43,18,13,22,21,0,0,2,1,5,9
619,16-17,Aug 07 2016,4,Nordsjælland,AaB,1,2,1,0,7,10,111.86,111.51,0.61,39,0.39,61,16,6,13,13,0,0,2,0,3,5
620,16-17,Aug 07 2016,4,Sønderjyske,København,1,1,0,1,12,15,109.96,114.6,0.56,44,0.44,56,13,13,19,14,0,0,3,3,7,3
621,16-17,Aug 07 2016,4,Midtjylland,Brøndby,3,3,0,1,6,10,113.36,112.87,0.46,54,0.54,46,8,17,8,13,0,0,0,3,13,3
622,16-17,Aug 08 2016,4,Esbjerg,AGF,2,2,2,1,8,16,116.19,113.07,0.51,49,0.49,51,11,17,16,11,1,0,2,4,6,2
623,16-17,Aug 12 2016,5,Viborg,Randers,0,1,0,0,11,12,111.76,115.28,0.57,43,0.43,57,12,16,18,16,0,0,2,1,6,6
624,16-17,Aug 12 2016,5,Lyngby,AGF,0,0,0,0,8,6,112,110.75,0.46,54,0.54,46,10,15,21,17,0,0,1,4,7,4
625,16-17,Aug 13 2016,5,Horsens,Silkeborg,3,3,1,0,10,11,118.84,113.13,0.56,44,0.44,56,15,9,11,15,0,0,0,1,2,4
626,16-17,Aug 13 2016,5,København,Midtjylland,3,1,0,1,16,7,108.71,114.16,0.36,64,0.64,36,8,12,20,15,0,0,1,2,3,8
627,16-17,Aug 14 2016,5,OB,Nordsjælland,3,1,0,0,9,10,116.53,110.1,0.47,53,0.53,47,13,11,15,17,0,0,1,1,5,6
628,16-17,Aug 14 2016,5,Brøndby,Sønderjyske,4,0,2,0,11,3,112.73,110.6,0.36,64,0.64,36,15,5,21,17,0,0,0,1,0,5
629,16-17,Aug 15 2016,5,AaB,Esbjerg,2,1,2,1,10,8,110.07,109.33,0.45,55,0.55,45,8,13,14,17,0,0,1,2,1,4
630,16-17,Aug 19 2016,6,Nordsjælland,Randers,1,1,0,1,9,8,118.4,125.03,0.39,61,0.61,39,9,11,11,11,0,0,1,1,3,0
631,16-17,Aug 19 2016,6,Horsens,Lyngby,2,1,1,1,13,16,111.29,113.05,0.65,35,0.35,65,14,7,16,11,0,0,1,1,2,3
632,16-17,Aug 20 2016,6,København,AaB,1,1,1,1,13,4,106.46,108.27,0.51,49,0.49,51,12,12,17,19,0,0,0,3,6,1
633,16-17,Aug 21 2016,6,Silkeborg,Viborg,1,5,0,2,14,18,107.83,112.59,0.46,54,0.54,46,15,12,16,22,0,0,1,0,3,4
634,16-17,Aug 21 2016,6,AGF,Brøndby,0,7,0,4,5,8,114.22,114.4,0.61,39,0.39,61,5,13,9,16,1,0,1,2,3,8
635,16-17,Aug 21 2016,6,Midtjylland,Sønderjyske,2,2,1,1,14,7,113.07,108.91,0.44,56,0.56,44,10,9,12,7,0,0,1,4,8,5
636,16-17,Aug 22 2016,6,Esbjerg,OB,3,2,1,1,8,12,107.94,106.47,0.54,46,0.46,54,12,6,16,11,0,0,0,1,4,6
637,16-17,Aug 26 2016,7,Randers,Silkeborg,1,0,1,0,15,5,106.9,111.04,0.42,58,0.58,42,9,13,12,12,0,0,0,1,7,5
638,16-17,Aug 26 2016,7,Lyngby,Nordsjælland,0,1,0,1,12,7,108.9,109.43,0.46,54,0.54,46,14,17,11,15,0,0,3,3,5,1
639,16-17,Aug 28 2016,7,Sønderjyske,Esbjerg,1,1,0,0,12,10,112.44,112.74,0.48,52,0.52,48,6,11,17,16,0,0,0,1,5,6
640,16-17,Aug 28 2016,7,OB,Horsens,0,1,0,1,17,5,119.84,118.68,0.33,67,0.67,33,10,7,19,17,0,0,2,3,5,2
641,16-17,Aug 28 2016,7,Brøndby,København,1,1,0,1,21,11,110.09,113.33,0.44,56,0.56,44,21,15,11,10,0,0,3,3,9,0
642,16-17,Aug 28 2016,7,AaB,AGF,2,1,0,0,9,17,115.73,115.17,0.56,44,0.44,56,7,14,16,12,0,0,2,2,10,4
643,16-17,Aug 28 2016,7,Viborg,Midtjylland,0,0,0,0,18,17,111.5,110,0.54,46,0.46,54,10,9,16,14,0,0,1,1,2,4
644,16-17,Sep 09 2016,8,Randers,Lyngby,2,0,2,0,9,12,116.09,115.35,0.61,39,0.39,61,12,10,21,18,1,0,2,3,5,7
645,16-17,Sep 09 2016,8,Midtjylland,Esbjerg,3,0,0,0,23,6,110.94,107.66,0.41,59,0.59,41,9,8,15,10,0,0,1,2,2,5
646,16-17,Sep 10 2016,8,Viborg,Horsens,2,4,2,1,14,14,113.49,111.02,0.43,57,0.57,43,7,15,14,14,0,0,3,1,4,2
647,16-17,Sep 10 2016,8,København,OB,2,0,0,0,23,7,111.8,110.86,0.44,56,0.56,44,11,14,20,13,0,0,1,2,7,3
648,16-17,Sep 11 2016,8,Sønderjyske,Silkeborg,2,2,0,0,14,16,114.98,118.61,0.48,52,0.52,48,9,9,19,18,0,0,1,0,5,7
649,16-17,Sep 11 2016,8,AaB,Brøndby,0,1,0,1,8,20,119.93,116.47,0.47,53,0.53,47,15,15,12,13,0,0,0,2,6,8
650,16-17,Sep 12 2016,8,AGF,Nordsjælland,3,1,0,1,17,8,116.11,121.8,0.37,63,0.63,37,13,13,8,16,0,0,1,1,7,5
651,16-17,Sep 16 2016,9,Esbjerg,Randers,1,1,1,0,10,15,111.24,109.95,0.54,46,0.46,54,10,7,16,11,0,0,0,1,5,11
652,16-17,Sep 17 2016,9,Silkeborg,AGF,1,0,0,0,12,10,109.16,111.19,0.55,45,0.45,55,9,13,18,24,0,0,1,2,8,5
653,16-17,Sep 18 2016,9,Nordsjælland,Sønderjyske,2,3,2,0,15,19,121.73,122.43,0.44,56,0.56,44,15,16,15,10,0,0,1,2,2,2
654,16-17,Sep 18 2016,9,OB,Midtjylland,0,1,0,0,17,17,111.55,109.58,0.49,51,0.51,49,9,12,8,10,0,0,4,4,1,5
655,16-17,Sep 18 2016,9,Brøndby,Viborg,1,2,0,1,14,13,112.78,115.42,0.55,45,0.45,55,8,8,16,10,0,0,2,2,6,5
656,16-17,Sep 18 2016,9,Horsens,København,0,2,0,2,4,14,114,113.01,-0.01,-1,-0.01,-1,4,1,17,9,0,0,3,1,3,1
657,16-17,Sep 19 2016,9,Lyngby,AaB,1,0,0,0,7,11,114.83,118.2,0.6,40,0.4,60,14,11,13,11,0,0,4,1,7,6
658,16-17,Sep 20 2016,10,Esbjerg,Silkeborg,0,0,0,0,10,19,116.32,113.37,0.47,53,0.53,47,18,7,12,10,0,0,1,1,5,1
659,16-17,Sep 21 2016,10,Randers,København,2,2,1,1,11,16,122.18,119.84,0.59,41,0.41,59,17,13,14,12,0,0,1,2,6,1
660,16-17,Sep 21 2016,10,Horsens,Nordsjælland,0,0,0,0,7,15,110.77,114.96,0.6,40,0.4,60,15,8,16,14,0,0,3,0,8,5
661,16-17,Sep 21 2016,10,AGF,Midtjylland,1,1,0,0,19,11,111.4,109.87,0.5,50,0.5,50,18,17,17,19,0,0,2,0,5,1
662,16-17,Sep 22 2016,10,Sønderjyske,OB,1,0,1,0,17,11,114.19,112.78,0.56,44,0.44,56,15,15,17,9,0,1,1,4,5,7
663,16-17,Sep 22 2016,10,Lyngby,Brøndby,1,0,1,0,4,20,119.08,116.01,0.65,35,0.35,65,13,16,11,15,0,0,3,2,11,3
664,16-17,Sep 22 2016,10,AaB,Viborg,1,0,0,0,15,13,118.45,114.92,0.52,48,0.48,52,10,11,21,20,0,0,2,0,6,2
665,16-17,Sep 24 2016,11,København,AGF,2,0,0,0,14,5,115,115.83,0.37,63,0.63,37,11,20,17,15,0,0,2,3,3,7
666,16-17,Sep 25 2016,11,Viborg,Lyngby,0,1,0,1,20,10,118.33,115.59,0.44,56,0.56,44,9,11,12,15,0,0,1,1,5,4
667,16-17,Sep 25 2016,11,Randers,Sønderjyske,0,4,0,2,10,16,114.02,118.43,0.49,51,0.51,49,13,9,15,14,1,0,1,2,8,4
668,16-17,Sep 25 2016,11,Brøndby,OB,3,0,2,0,24,13,115.99,123.64,0.48,52,0.52,48,15,11,8,11,0,0,2,2,9,0
669,16-17,Sep 25 2016,11,Midtjylland,Horsens,5,2,2,2,17,12,113.32,115.35,0.41,59,0.59,41,5,15,14,14,0,0,2,1,12,3
670,16-17,Sep 25 2016,11,Nordsjælland,Esbjerg,3,0,2,0,17,11,108.6,114.9,0.5,50,0.5,50,12,7,9,7,0,0,3,3,7,3
671,16-17,Sep 26 2016,11,Silkeborg,AaB,5,3,2,1,15,7,108.88,110.87,0.52,48,0.48,52,10,4,14,13,0,0,0,0,2,6
672,16-17,Sep 30 2016,12,OB,AGF,2,1,1,0,11,11,118.88,112.26,0.59,41,0.41,59,12,23,11,17,0,0,4,4,3,4
673,16-17,Sep 30 2016,12,Silkeborg,Nordsjælland,2,2,1,1,12,11,119.73,114.73,0.54,46,0.46,54,13,16,12,13,0,0,1,3,4,4
674,16-17,Oct 01 2016,12,Horsens,Esbjerg,1,0,0,0,12,14,114.9,115.21,0.59,41,0.41,59,9,8,14,11,0,0,1,0,7,3
675,16-17,Oct 02 2016,12,AaB,Sønderjyske,0,1,0,0,9,11,110.15,112.52,0.43,57,0.57,43,11,17,12,16,0,0,5,3,9,0
676,16-17,Oct 02 2016,12,Lyngby,Midtjylland,1,0,1,0,7,12,117.89,118.92,0.59,41,0.41,59,12,18,20,12,0,0,1,1,2,6
677,16-17,Oct 02 2016,12,Viborg,København,0,0,0,0,9,15,119.46,113.05,0.69,31,0.31,69,11,13,14,15,0,0,1,3,3,1
678,16-17,Oct 02 2016,12,Brøndby,Randers,2,2,2,0,14,10,113.46,113.31,0.46,54,0.54,46,12,13,11,17,0,0,3,1,7,6
679,16-17,Oct 14 2016,13,Sønderjyske,Viborg,1,0,0,0,17,9,116.68,116.75,0.45,55,0.55,45,10,14,15,13,0,1,2,4,4,5
680,16-17,Oct 14 2016,13,AGF,Horsens,1,1,0,1,16,10,115.16,117.73,0.44,56,0.56,44,13,14,14,12,0,0,2,2,6,5
681,16-17,Oct 15 2016,13,København,Silkeborg,2,0,2,0,15,6,115.49,113.11,0.36,64,0.64,36,8,7,10,11,0,0,0,0,4,3
682,16-17,Oct 16 2016,13,Randers,OB,3,0,1,0,11,10,112.45,113.47,0.51,49,0.49,51,10,10,12,15,0,0,1,2,3,2
683,16-17,Oct 16 2016,13,Nordsjælland,Brøndby,1,1,0,0,8,23,110.91,110.94,0.6,40,0.4,60,14,14,7,14,0,0,2,3,5,4
