index,season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,a_possession,h_possession (in percent),h_possession,a_possession (in percent),h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
426,15-16,6,Hobro,Nordsjælland,1,3,1,2,7,14,116.17,114.43,450,424,322,303,128,121,0.72,0.71,0.52,48,0.48,52,0.51,0.49,12,10,18,13,2,2,11,9
427,15-16,6,Randers,Viborg,0,1,0,0,5,10,115.76,119.14,488,485,397,394,91,91,0.81,0.81,0.35,65,0.65,35,0.48,0.52,7,15,13,14,3,3,4,6
428,15-16,6,Brøndby,SønderjyskE,1,0,0,0,11,7,119.85,116.52,336,643,234,523,102,120,0.7,0.81,0.32,68,0.68,32,0.47,0.53,11,10,12,10,0,3,5,9
429,15-16,6,København,AGF,2,2,1,1,9,12,118.44,116.59,550,299,442,182,108,117,0.8,0.61,0.49,51,0.51,49,0.65,0.35,11,16,24,13,0,1,6,1
430,15-16,6,Esbjerg,Midtjylland,1,1,1,1,10,12,107.69,111.41,591,324,478,222,113,102,0.81,0.69,0.45,55,0.55,45,0.61,0.39,14,7,26,9,0,4,8,3
431,15-16,6,AaB,OB,5,1,2,0,9,6,116.23,111.57,286,472,158,322,128,150,0.55,0.68,0.36,64,0.64,36,0.48,0.52,9,7,16,17,1,3,6,6
432,15-16,7,AGF,Esbjerg,0,0,0,0,16,8,112.8,116.27,390,329,289,216,101,113,0.74,0.66,0.4,60,0.6,40,0.46,0.54,7,4,13,17,2,5,9,2
433,15-16,7,SønderjyskE,Viborg,2,1,1,0,9,6,121.97,117.6,391,420,274,289,117,131,0.7,0.69,0.61,39,0.39,61,0.54,0.46,9,11,18,14,3,3,4,6
434,15-16,7,AaB,Randers,0,2,0,1,7,7,122.63,122.53,687,420,590,323,97,97,0.86,0.77,0.38,62,0.62,38,0.5,0.5,6,12,5,13,0,3,2,1
435,15-16,7,Nordsjælland,Brøndby,0,2,0,0,12,11,115.31,114.97,272,743,179,656,93,87,0.66,0.88,0.55,45,0.45,55,0.41,0.59,11,7,13,17,3,1,1,7
436,15-16,7,OB,København,1,0,0,0,10,21,115.02,116.68,282,698,185,583,97,115,0.66,0.84,0.63,37,0.37,63,0.48,0.52,9,12,9,9,2,2,2,9
437,15-16,7,Midtjylland,Hobro,2,0,1,0,8,11,119.16,117.15,377,433,254,316,123,117,0.67,0.73,0.39,61,0.61,39,0.45,0.55,8,20,24,18,0,1,10,10
438,15-16,8,Hobro,AGF,2,1,1,1,4,10,117.43,121.66,416,389,297,271,119,118,0.71,0.7,0.67,33,0.33,67,0.4,0.6,18,7,9,18,4,2,4,2
439,15-16,8,Viborg,Nordsjælland,0,1,0,0,9,12,119.61,120.61,503,372,391,254,112,118,0.78,0.68,0.19,81,0.81,19,0.49,0.51,21,13,15,19,3,0,4,5
440,15-16,8,Randers,SønderjyskE,1,0,0,0,15,5,121.49,118.24,545,397,415,276,130,121,0.76,0.7,0.33,67,0.67,33,0.46,0.54,12,10,12,16,2,1,5,6
441,15-16,8,København,AaB,4,2,1,2,10,3,120.28,124.9,669,289,553,191,116,98,0.83,0.66,0.46,54,0.54,46,0.54,0.46,9,3,17,15,4,0,11,1
442,15-16,8,Brøndby,Midtjylland,0,0,0,0,13,9,113.05,116.81,954,204,857,121,97,83,0.9,0.59,0.43,57,0.57,43,0.52,0.48,19,12,3,5,2,1,10,1
443,15-16,8,Esbjerg,OB,4,2,4,1,9,7,122.27,117.13,495,455,370,327,125,128,0.75,0.72,0.64,36,0.36,64,0.49,0.51,10,10,17,17,6,3,8,5
444,15-16,1,København,Randers,3,0,1,0,7,10,122.69,118.43,576,348,461,228,115,120,0.8,0.66,0.42,58,0.58,42,0.51,0.49,14,11,12,9,5,2,6,5
445,15-16,9,AGF,SønderjyskE,1,2,1,1,6,7,117.94,120.13,471,428,356,316,115,112,0.76,0.74,0.44,56,0.56,44,0.48,0.52,10,8,14,13,4,2,9,3
446,15-16,9,OB,Viborg,2,0,1,0,5,8,123.97,117.31,360,651,259,535,101,116,0.72,0.82,0.44,56,0.56,44,0.48,0.52,8,12,10,12,3,2,4,5
447,15-16,9,Midtjylland,Nordsjælland,0,1,0,0,9,3,114.17,116.34,629,433,553,354,76,79,0.88,0.82,0.44,56,0.56,44,0.54,0.46,11,12,16,11,1,0,2,1
448,15-16,9,København,Hobro,1,0,0,0,11,5,113.5,114.28,298,466,173,315,125,151,0.58,0.68,0.43,57,0.57,43,0.47,0.53,5,16,19,15,1,1,1,9
449,15-16,9,AaB,Brøndby,4,1,2,0,7,14,119.16,117.9,607,237,501,136,106,101,0.83,0.57,0.47,53,0.53,47,0.49,0.51,11,19,19,13,1,1,5,4
450,15-16,9,Esbjerg,Randers,0,2,0,2,12,14,119.38,118.17,390,400,276,287,114,113,0.71,0.72,0.58,42,0.42,58,0.59,0.41,7,11,22,9,5,1,5,7
451,15-16,10,SønderjyskE,OB,4,0,3,0,6,5,119.28,112.73,289,656,212,564,77,92,0.73,0.86,0.55,45,0.45,55,0.5,0.5,8,6,17,16,4,3,4,10
452,15-16,10,Viborg,AaB,1,0,0,0,10,8,117.28,119.77,496,415,374,297,122,118,0.75,0.72,0.66,34,0.34,66,0.48,0.52,13,9,13,11,2,0,6,4
453,15-16,10,Brøndby,København,1,0,0,0,8,11,118.48,114.39,425,346,285,193,140,153,0.67,0.56,0.53,47,0.47,53,0.53,0.47,13,7,20,17,8,7,4,1
454,15-16,10,Randers,Midtjylland,0,2,0,0,10,11,119.48,122.92,502,495,426,407,76,88,0.85,0.82,0.45,55,0.55,45,0.55,0.45,9,7,11,14,5,0,4,7
455,15-16,10,Nordsjælland,AGF,2,0,2,0,6,8,121.22,122.62,302,665,196,549,106,116,0.65,0.83,0.55,45,0.45,55,0.52,0.48,16,5,9,12,4,0,2,6
456,15-16,10,Hobro,Esbjerg,2,2,2,0,11,7,116.17,113.62,323,473,195,353,128,120,0.6,0.75,0.59,41,0.41,59,0.44,0.56,9,10,19,16,1,4,5,5
457,15-16,11,Nordsjælland,OB,1,5,1,2,7,10,116.35,117.15,633,381,526,267,107,114,0.83,0.7,0.47,53,0.53,47,0.53,0.47,14,15,9,5,1,0,4,4
458,15-16,11,Randers,Hobro,2,1,1,1,7,5,108.68,114.7,338,434,232,308,106,126,0.69,0.71,0.43,57,0.57,43,0.44,0.56,8,17,16,16,1,2,2,9
459,15-16,11,AaB,SønderjyskE,5,0,2,0,4,12,117.97,118.38,361,519,223,390,138,129,0.62,0.75,0.44,56,0.56,44,0.45,0.55,11,8,13,11,3,2,6,5
460,15-16,11,København,Viborg,1,0,0,0,16,9,118.42,114.81,313,685,226,586,87,99,0.72,0.86,0.35,65,0.65,35,0.5,0.5,6,10,15,13,1,4,1,5
461,15-16,11,Brøndby,Esbjerg,1,1,0,0,17,15,116.01,117.99,342,571,242,479,100,92,0.71,0.84,0.46,54,0.54,46,0.51,0.49,8,11,15,15,1,3,5,7
462,15-16,11,Midtjylland,AGF,2,0,1,0,6,9,117.69,117.26,432,411,317,281,115,130,0.73,0.68,0.44,56,0.56,44,0.48,0.52,12,17,16,14,1,2,9,4
463,15-16,12,Midtjylland,Randers,2,1,1,0,6,9,116.66,113.26,392,391,292,273,100,118,0.74,0.7,0.49,51,0.51,49,0.58,0.42,7,12,14,10,5,6,3,5
464,15-16,12,OB,SønderjyskE,1,2,1,0,-1,-1,123.31,120.09,426,601,332,506,94,95,0.78,0.84,-0.01,-1,-0.01,-1,0.53,0.47,-1,-1,13,12,2,1,4,8
465,15-16,12,AGF,Nordsjælland,3,0,2,0,10,8,124.24,119.8,421,481,295,353,126,128,0.7,0.73,0.55,45,0.45,55,0.44,0.56,12,9,10,17,1,3,3,3
466,15-16,12,Viborg,Brøndby,0,2,0,0,14,5,116.02,115.25,457,312,321,136,136,176,0.7,0.44,0.52,48,0.48,52,0.43,0.57,8,11,16,18,1,2,4,3
467,15-16,12,København,Hobro,3,1,1,0,10,6,118.22,112.97,442,375,330,251,112,124,0.75,0.67,0.38,62,0.62,38,0.5,0.5,10,15,26,14,1,4,6,3
468,15-16,12,Esbjerg,AaB,1,2,1,1,11,16,109.67,112.76,377,321,270,200,107,121,0.72,0.62,0.55,45,0.45,55,0.56,0.44,11,8,28,18,3,1,4,7
469,15-16,13,Hobro,AGF,3,1,3,0,13,12,108.22,115.33,594,409,517,328,77,81,0.87,0.8,0.58,42,0.42,58,0.59,0.41,13,7,19,12,5,8,5,1
470,15-16,13,Viborg,Esbjerg,4,2,3,0,11,9,124.15,122.66,358,730,262,641,96,89,0.73,0.88,0.58,42,0.42,58,0.53,0.47,10,7,15,15,0,2,4,4
471,15-16,13,Nordsjælland,AaB,3,0,1,0,7,7,121.02,120.15,554,436,438,325,116,111,0.79,0.75,0.55,45,0.45,55,0.54,0.46,16,7,15,14,6,4,7,4
472,15-16,13,SønderjyskE,København,1,2,1,0,8,13,117.81,117.3,386,471,269,359,117,112,0.7,0.76,0.52,48,0.48,52,0.49,0.51,14,11,16,19,6,8,1,6
473,15-16,13,Brøndby,Midtjylland,2,1,1,1,8,7,122.18,117.23,507,471,367,335,140,136,0.72,0.71,0.42,58,0.58,42,0.47,0.53,10,13,11,12,5,4,4,1
474,15-16,13,Randers,OB,1,1,1,1,15,3,118.84,119.29,550,289,437,168,113,121,0.79,0.58,0.39,61,0.61,39,0.55,0.45,12,10,30,13,4,1,7,1
475,15-16,14,Esbjerg,Nordsjælland,2,1,0,1,12,4,113.9,116.3,381,484,249,344,132,140,0.65,0.71,0.51,49,0.49,51,0.48,0.52,13,14,16,14,2,4,4,2
476,15-16,14,Midtjylland,Viborg,2,4,1,2,10,8,117.38,121.86,468,543,368,442,100,101,0.79,0.81,0.48,52,0.52,48,0.6,0.4,15,14,9,10,5,3,2,4
477,15-16,14,AaB,Hobro,6,0,2,0,16,7,118.38,123.56,510,304,401,189,109,115,0.79,0.62,0.41,59,0.59,41,0.54,0.46,3,6,18,10,4,1,5,5
478,15-16,14,København,Randers,4,0,2,0,9,10,122.38,120.01,324,726,228,643,96,83,0.7,0.89,0.5,50,0.5,50,0.54,0.46,7,10,15,17,4,1,5,3
479,15-16,14,OB,Brøndby,2,5,1,3,9,13,115.18,116.22,505,461,401,353,104,108,0.79,0.77,0.51,49,0.49,51,0.48,0.52,8,7,15,19,0,4,2,4
480,15-16,14,AGF,SønderjyskE,0,0,0,0,12,4,110.71,113.57,542,321,445,207,97,114,0.82,0.64,0.39,61,0.61,39,0.48,0.52,12,22,15,15,1,4,4,2
481,15-16,15,SønderjyskE,AaB,1,2,0,1,9,4,116.92,117.13,471,400,317,264,154,136,0.67,0.66,0.56,44,0.44,56,0.47,0.53,8,7,11,10,1,3,3,5
482,15-16,15,Randers,AGF,4,1,2,1,4,7,117.97,110.71,274,761,177,677,97,84,0.65,0.89,0.59,41,0.41,59,0.52,0.48,14,8,21,26,5,3,4,1
483,15-16,15,Hobro,Nordsjælland,0,1,0,0,7,9,119.01,125.1,507,366,390,267,117,99,0.77,0.73,0.52,48,0.48,52,0.58,0.42,10,18,14,12,0,1,9,3
484,15-16,15,Viborg,OB,0,1,0,0,10,12,128.95,123.43,292,657,161,541,131,116,0.55,0.82,0.58,42,0.42,58,0.48,0.52,9,9,10,20,3,1,3,10
485,15-16,15,Midtjylland,Esbjerg,5,1,2,0,11,4,116.15,113.99,299,495,148,340,151,155,0.49,0.69,0.42,58,0.58,42,0.49,0.51,11,10,15,14,2,5,4,7
486,15-16,15,Brøndby,København,0,0,0,0,10,8,112.33,114.07,344,416,218,302,126,114,0.63,0.73,0.38,62,0.62,38,0.48,0.52,10,9,19,19,3,2,3,3
487,15-16,16,OB,Midtjylland,1,1,0,0,13,8,118.74,117.42,518,415,401,298,117,117,0.77,0.72,0.48,52,0.52,48,0.49,0.51,9,21,12,14,5,4,7,3
488,15-16,16,Nordsjælland,SønderjyskE,1,2,1,1,7,7,113.94,119.98,825,302,745,213,80,89,0.9,0.71,0.48,52,0.52,48,0.71,0.29,12,15,15,3,9,5,3,0
489,15-16,16,Esbjerg,Hobro,4,4,1,3,14,2,115.12,113.49,356,435,220,314,136,121,0.62,0.72,0.36,64,0.64,36,0.43,0.57,9,10,11,23,2,1,5,1
490,15-16,16,København,Viborg,0,0,0,0,16,7,122.56,120.51,773,270,683,181,90,89,0.88,0.67,0.39,61,0.61,39,0.53,0.47,14,11,12,10,2,1,10,1
491,15-16,16,AGF,Brøndby,1,1,0,1,12,2,113.3,116.26,358,431,221,272,137,159,0.62,0.63,0.46,54,0.54,46,0.52,0.48,10,15,21,22,0,1,10,2
492,15-16,16,AaB,Randers,3,2,0,1,15,10,116.84,111.53,313,444,193,312,120,132,0.62,0.7,0.4,60,0.6,40,0.48,0.52,7,15,14,19,0,2,5,10
493,15-16,17,Viborg,AGF,1,0,1,0,7,9,119.78,118.48,469,389,370,289,99,100,0.79,0.74,0.61,39,0.39,61,0.42,0.58,17,7,12,21,6,10,5,7
494,15-16,17,Randers,Nordsjælland,1,0,1,0,10,4,120.93,120.88,476,353,351,229,125,124,0.74,0.65,0.5,50,0.5,50,0.53,0.47,18,10,15,20,2,4,2,1
495,15-16,17,SønderjyskE,Hobro,2,0,1,0,6,0,120.39,121.54,676,310,550,198,126,112,0.81,0.64,0.45,55,0.55,45,0.5,0.5,7,17,10,15,3,1,7,1
496,15-16,17,Brøndby,AaB,0,2,0,2,12,7,120.45,120.52,446,567,330,443,116,124,0.74,0.78,0.49,51,0.51,49,0.51,0.49,10,11,12,13,4,8,2,5
497,15-16,17,OB,Esbjerg,2,1,0,1,11,7,114.27,117,392,329,278,212,114,117,0.71,0.64,0.48,52,0.52,48,0.48,0.52,14,16,11,12,2,1,7,1
498,15-16,18,AGF,Midtjylland,2,1,1,1,7,3,116.51,111.49,392,445,275,326,117,119,0.7,0.73,0.56,44,0.44,56,0.5,0.5,15,12,18,14,4,3,6,1
499,15-16,18,Hobro,Randers,0,0,0,0,10,14,115.41,119.28,538,350,419,232,119,118,0.78,0.66,0.65,35,0.35,65,0.57,0.43,16,13,15,12,2,3,5,4
500,15-16,18,Esbjerg,SønderjyskE,0,1,0,0,-1,-1,117.89,115.85,509,360,390,260,119,100,0.77,0.72,-0.01,-1,-0.01,-1,0.4,0.6,-1,-1,19,20,1,2,4,1
501,15-16,18,Nordsjælland,Brøndby,0,2,0,2,9,9,111.23,109.14,247,884,174,802,73,82,0.7,0.91,0.48,52,0.52,48,0.52,0.48,9,12,13,10,3,2,4,4
502,15-16,18,København,OB,4,1,2,0,10,9,116.32,119.87,379,532,247,417,132,115,0.65,0.78,0.53,47,0.47,53,0.5,0.5,8,7,19,13,2,2,2,5
503,15-16,18,AaB,Viborg,2,0,1,0,8,14,121.05,118.62,445,573,339,459,106,114,0.76,0.8,0.51,49,0.49,51,0.52,0.48,11,6,11,13,1,2,4,5
504,15-16,19,OB,AGF,2,2,0,2,8,13,119.23,123.5,741,344,653,243,88,101,0.88,0.71,0.48,52,0.52,48,0.57,0.43,12,18,14,10,2,4,6,3
505,15-16,19,Randers,SønderjyskE,1,1,0,0,9,5,112.66,112.5,835,237,745,161,90,76,0.89,0.68,0.41,59,0.59,41,0.55,0.45,12,7,11,4,1,1,14,5
506,15-16,19,Viborg,Nordsjælland,1,1,0,1,12,4,109.76,106.41,563,318,461,216,102,102,0.82,0.68,0.41,59,0.59,41,0.53,0.47,17,11,12,13,3,1,9,5
507,15-16,19,København,Esbjerg,2,1,1,1,10,2,117.91,120.88,507,437,400,311,107,126,0.79,0.71,0.45,55,0.55,45,0.43,0.57,14,14,13,15,2,0,3,2
508,15-16,19,Brøndby,Hobro,1,0,0,0,16,6,121.29,117.68,514,419,380,290,134,129,0.74,0.69,0.37,63,0.63,37,0.55,0.45,14,13,11,11,3,1,6,9
509,15-16,19,Midtjylland,AaB,1,1,1,0,10,9,119.17,119.26,422,384,292,232,130,152,0.69,0.6,0.46,54,0.54,46,0.49,0.51,14,11,15,20,4,3,8,4
510,15-16,17,Midtjylland,København,0,1,0,0,4,7,118.11,111.21,320,471,219,367,101,104,0.68,0.78,0.55,45,0.45,55,0.5,0.5,8,13,17,21,4,1,4,5
511,15-16,20,AaB,OB,0,1,0,0,14,3,113.87,113.91,410,334,291,216,119,118,0.71,0.65,0.39,61,0.61,39,0.53,0.47,7,8,27,16,3,1,4,3
512,15-16,20,Hobro,Viborg,0,6,0,2,10,7,119.31,119.43,533,440,452,356,81,84,0.85,0.81,0.58,42,0.42,58,0.53,0.47,11,10,13,8,1,5,11,8
513,15-16,20,Esbjerg,Randers,1,0,0,0,5,7,117.29,114.62,341,481,230,399,111,82,0.67,0.83,0.5,50,0.5,50,0.4,0.6,7,12,13,20,2,5,6,3
514,15-16,20,SønderjyskE,Brøndby,3,1,2,1,12,8,121.5,125.16,634,264,526,152,108,112,0.83,0.58,0.53,47,0.47,53,0.48,0.52,9,18,14,15,2,2,8,2
515,15-16,20,AGF,København,0,0,0,0,9,8,117.81,119.57,487,382,375,282,112,100,0.77,0.74,0.4,60,0.6,40,0.47,0.53,9,10,18,14,2,5,3,4
516,15-16,20,Nordsjælland,Midtjylland,2,1,0,1,10,5,116.46,116.16,355,514,253,404,102,110,0.71,0.79,0.42,58,0.58,42,0.48,0.52,13,11,14,9,3,3,4,5
517,15-16,21,Esbjerg,AGF,2,1,1,0,5,13,114.98,107.61,224,838,148,752,76,86,0.66,0.9,0.56,44,0.44,56,0.45,0.55,13,11,7,12,3,0,2,3
518,15-16,21,Viborg,SønderjyskE,0,0,0,0,9,4,116.04,113.76,423,308,273,186,150,122,0.65,0.6,0.52,48,0.48,52,0.42,0.58,17,10,19,16,2,2,6,5
519,15-16,21,OB,Nordsjælland,3,1,1,1,8,8,113.57,108.84,256,545,117,403,139,142,0.46,0.74,0.56,44,0.44,56,0.48,0.52,8,11,12,23,1,6,1,7
520,15-16,21,Brøndby,Randers,1,0,1,0,6,8,121.39,119.71,409,547,296,417,113,130,0.72,0.76,0.5,50,0.5,50,0.49,0.51,14,11,12,6,5,2,7,4
521,15-16,21,København,AaB,6,2,3,1,9,7,111.17,107.02,263,451,173,336,90,115,0.66,0.75,0.5,50,0.5,50,0.53,0.47,16,5,14,17,2,3,4,10
522,15-16,21,Midtjylland,Hobro,3,0,1,0,15,6,116.14,113.05,333,490,186,352,147,138,0.56,0.72,0.4,60,0.6,40,0.53,0.47,6,11,17,15,2,1,9,8
523,15-16,22,AaB,AGF,2,2,1,0,4,17,113.23,110.79,443,406,321,276,122,130,0.72,0.68,0.49,51,0.51,49,0.48,0.52,5,17,8,22,4,1,3,4
524,15-16,22,Hobro,OB,0,2,0,0,7,8,113.77,118.89,472,320,358,212,114,108,0.76,0.66,0.47,53,0.53,47,0.51,0.49,14,8,13,22,4,3,4,2
525,15-16,22,SønderjyskE,Midtjylland,3,2,0,2,6,12,114.7,108.91,529,280,431,173,98,107,0.81,0.62,0.55,45,0.45,55,0.44,0.56,8,11,17,19,4,2,9,6
526,15-16,22,Randers,Viborg,1,3,1,2,10,4,120.64,114.78,295,651,193,537,102,114,0.65,0.82,0.4,60,0.6,40,0.45,0.55,13,5,16,18,3,2,3,5
527,15-16,22,Nordsjælland,København,2,0,0,0,10,11,114.91,112.2,253,650,151,554,102,96,0.6,0.85,0.55,45,0.45,55,0.45,0.55,6,11,15,19,1,5,3,3
528,15-16,22,Brøndby,Esbjerg,0,0,0,0,14,6,112.28,114.18,552,300,424,181,128,119,0.77,0.6,0.47,53,0.53,47,0.53,0.47,9,13,23,13,2,3,9,3
529,15-16,23,AaB,Nordsjælland,1,0,1,0,6,12,119.59,119.66,722,331,581,213,141,118,0.8,0.64,0.55,45,0.45,55,0.45,0.55,8,15,5,13,0,3,5,2
530,15-16,23,AGF,Hobro,1,1,1,0,11,3,115.48,116.96,460,436,390,339,70,97,0.85,0.78,0.41,59,0.59,41,0.54,0.46,13,18,14,9,1,2,5,5
531,15-16,23,OB,Randers,0,1,0,1,7,12,122.55,125.08,713,419,641,339,72,80,0.9,0.81,0.47,53,0.53,47,0.55,0.45,15,7,15,14,5,2,2,5
532,15-16,23,København,SønderjyskE,1,0,1,0,19,6,113.63,114.4,472,283,376,197,96,86,0.8,0.7,0.38,62,0.62,38,0.44,0.56,15,10,21,21,1,4,4,6
533,15-16,23,Midtjylland,Brøndby,2,0,1,0,13,6,114.15,117.03,504,441,382,325,122,116,0.76,0.74,0.52,48,0.48,52,0.55,0.45,10,14,20,12,2,2,8,4
534,15-16,23,Esbjerg,Viborg,1,0,1,0,8,15,117.35,113.52,334,445,232,318,102,127,0.69,0.71,0.44,56,0.56,44,0.44,0.56,9,12,12,16,3,2,4,6
535,15-16,24,Viborg,Midtjylland,1,1,0,0,12,10,116.2,110.23,342,434,211,287,131,147,0.62,0.66,0.52,48,0.48,52,0.44,0.56,9,12,10,16,1,2,2,9
536,15-16,24,SønderjyskE,AGF,2,2,0,1,4,7,117.19,117.48,436,320,314,199,122,121,0.72,0.62,0.57,43,0.43,57,0.57,0.43,14,14,21,14,5,1,8,6
537,15-16,24,Hobro,AaB,0,2,0,0,7,8,115.43,112.44,415,451,321,349,94,102,0.77,0.77,0.55,45,0.45,55,0.51,0.49,17,6,18,19,1,0,9,4
538,15-16,24,Randers,København,1,1,0,0,7,6,115.8,119.26,472,353,343,250,129,103,0.73,0.71,0.52,48,0.48,52,0.45,0.55,11,11,16,17,1,6,4,9
539,15-16,24,Brøndby,OB,1,0,1,0,9,5,116.64,115.13,349,508,227,386,122,122,0.65,0.76,0.47,53,0.53,47,0.49,0.51,5,12,15,10,1,2,8,4
540,15-16,24,Nordsjælland,Esbjerg,0,0,0,0,11,12,120.48,127.87,823,379,750,290,73,89,0.91,0.77,0.46,54,0.54,46,0.42,0.58,11,11,9,14,1,5,4,2
541,15-16,25,Nordsjælland,Hobro,2,1,1,1,12,9,108.5,110.44,394,395,284,272,110,123,0.72,0.69,0.41,59,0.59,41,0.55,0.45,10,14,16,8,3,2,7,2
542,15-16,25,AGF,Randers,0,2,0,0,6,6,112.82,116.17,562,328,463,218,99,110,0.82,0.66,0.57,43,0.43,57,0.59,0.41,13,10,15,14,2,0,8,7
543,15-16,25,OB,Viborg,5,1,2,0,8,10,117.76,118.3,424,680,337,580,87,100,0.79,0.85,0.46,54,0.54,46,0.49,0.51,12,8,9,14,3,0,5,3
544,15-16,25,AaB,SønderjyskE,1,2,1,1,9,10,113.3,111.97,390,409,252,290,138,119,0.65,0.71,0.43,57,0.57,43,0.51,0.49,11,9,16,23,0,7,3,2
545,15-16,25,København,Brøndby,2,0,1,0,10,4,113.46,115.31,312,507,203,398,109,109,0.65,0.79,0.42,58,0.58,42,0.51,0.49,8,12,25,17,4,5,4,9
546,15-16,25,Esbjerg,Midtjylland,0,2,0,1,9,10,122.58,117.28,390,476,275,373,115,103,0.71,0.78,0.52,48,0.48,52,0.49,0.51,10,15,15,7,2,2,5,7
547,15-16,26,Midtjylland,OB,2,0,1,0,12,6,117.95,116.4,544,554,397,433,147,121,0.73,0.78,0.48,52,0.52,48,0.53,0.47,15,5,18,14,5,4,2,1
548,15-16,26,Hobro,Esbjerg,2,2,0,1,12,11,108.95,107.01,298,392,208,285,90,107,0.7,0.73,0.52,48,0.48,52,0.47,0.53,16,14,23,21,1,0,4,4
549,15-16,26,SønderjyskE,Nordsjælland,3,1,1,0,8,10,117.38,117.89,456,424,359,333,97,91,0.79,0.79,0.53,47,0.47,53,0.51,0.49,16,7,18,17,0,0,3,2
550,15-16,26,Viborg,København,1,1,1,0,4,20,114.61,115.3,522,322,425,227,97,95,0.81,0.7,0.68,32,0.32,68,0.48,0.52,16,9,10,18,1,2,10,2
551,15-16,26,Brøndby,AGF,2,1,1,1,11,6,110.95,112.45,731,425,659,343,72,82,0.9,0.81,0.41,59,0.59,41,0.56,0.44,11,12,17,12,3,2,3,0
552,15-16,26,Randers,AaB,0,0,0,0,11,5,117.52,121.68,556,274,463,182,93,92,0.83,0.66,0.49,51,0.51,49,0.58,0.42,8,10,20,15,1,0,8,6
553,15-16,27,AGF,Viborg,1,2,0,1,13,9,119.23,118.87,548,630,452,538,96,92,0.82,0.85,0.38,62,0.62,38,0.48,0.52,14,8,6,10,1,1,6,6
554,15-16,27,Hobro,SønderjyskE,1,2,1,2,11,9,115.67,118.43,483,335,363,207,120,128,0.75,0.62,0.5,50,0.5,50,0.52,0.48,18,10,21,16,3,2,4,2
555,15-16,27,Nordsjælland,Randers,2,2,0,1,5,11,119.46,114.19,293,519,201,405,92,114,0.69,0.78,0.5,50,0.5,50,0.49,0.51,10,8,21,14,1,1,6,7
556,15-16,27,AaB,Brøndby,3,0,0,0,12,7,115.83,113.8,402,457,299,341,103,116,0.74,0.75,0.37,63,0.63,37,0.43,0.57,8,14,10,17,5,2,3,5
557,15-16,27,København,Midtjylland,5,3,2,0,9,5,112.21,113.79,316,518,224,423,92,95,0.71,0.82,0.53,47,0.47,53,0.5,0.5,12,12,19,15,2,1,3,3
558,15-16,27,Esbjerg,OB,0,2,0,1,10,10,111.66,113.31,344,418,225,303,119,115,0.65,0.72,0.56,44,0.44,56,0.5,0.5,8,6,13,13,1,4,9,3
559,15-16,28,SønderjyskE,Esbjerg,2,0,1,0,11,4,119.1,114.27,429,515,336,417,93,98,0.78,0.81,0.58,42,0.42,58,0.47,0.53,6,10,13,17,2,3,8,5
560,15-16,28,Randers,Hobro,2,0,0,0,16,9,110.32,112.26,519,377,405,265,114,112,0.78,0.7,0.47,53,0.53,47,0.52,0.48,5,11,6,14,3,2,5,3
561,15-16,28,Viborg,AaB,0,2,0,1,17,7,104.23,102.03,390,344,264,226,126,118,0.68,0.66,0.49,51,0.51,49,0.57,0.43,13,4,21,14,2,4,11,0
562,15-16,28,OB,København,0,1,0,1,6,8,117.47,113.77,306,696,240,613,66,83,0.78,0.88,0.56,44,0.44,56,0.5,0.5,9,15,21,16,5,0,1,10
563,15-16,28,Midtjylland,AGF,1,1,0,1,11,7,114.56,113.6,478,501,401,416,77,85,0.84,0.83,0.44,56,0.56,44,0.52,0.48,11,16,14,9,1,2,8,11
564,15-16,28,Brøndby,Nordsjælland,2,1,1,0,10,7,117.54,118.5,485,309,383,199,102,110,0.79,0.64,0.46,54,0.54,46,0.47,0.53,10,16,9,15,4,1,10,5
565,15-16,29,SønderjyskE,Viborg,2,0,1,0,10,9,115.44,117.1,485,352,379,250,106,102,0.78,0.71,0.51,49,0.49,51,0.49,0.51,14,8,16,20,6,1,2,6
566,15-16,29,Hobro,Midtjylland,1,4,1,0,8,12,110.16,112.94,379,309,263,198,116,111,0.69,0.64,0.62,38,0.38,62,0.47,0.53,18,8,18,12,4,4,3,0
